Month,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,Total
Feb-1995,8600,29090,54960,185790,1570,20420,18620,319050
Mar-1995,7560,33620,56270,193960,1890,4210,16030,313540
Apr-1995,5580,26840,62810,175430,1880,6800,14820,294160
May-1995,6780,29940,38070,150620,1670,3800,13940,244810
Jun-1995,6590,25270,48130,157310,1900,5780,16460,261440
Jul-1995,9530,33720,53370,193710,1860,19620,17920,329740
Aug-1995,7870,40360,44810,190720,1660,4550,14940,304900
Sep-1995,9450,28830,52630,154660,1750,5540,15700,268570
Oct-1995,12150,33710,57280,191740,1950,7640,16190,320660
Nov-1995,9460,36330,63810,212620,1650,3570,15500,342930
Dec-1995,3070,22150,113190,261780,1540,3500,17030,422260
Jan-1996,4290,27180,57800,187330,2650,19590,18360,317210
Feb-1996,8080,31860,61550,247960,1970,24090,17170,392690
Mar-1996,9210,37530,68070,223120,1990,9060,16570,365550
Apr-1996,13040,31980,63930,196700,2150,9330,16060,333200
May-1996,7800,32050,44550,157600,1360,4650,13510,261510
Jun-1996,9250,32170,56500,182720,1790,7190,17320,306930
Jul-1996,10340,32350,59230,207880,2250,25930,20250,358230
Aug-1996,9130,32400,52810,208880,1690,6470,17850,329240
Sep-1996,12330,32340,57660,182390,1720,6710,16010,309160
Oct-1996,12480,38010,64920,205690,2250,8870,18140,350360
Nov-1996,12830,39680,74310,225030,2060,4850,16800,375570
Dec-1996,4110,24400,119920,293080,1800,4310,17570,465180
Jan-1997,5450,28670,62700,199230,3210,23070,20560,342890
Feb-1997,6290,38430,61900,253580,1850,26850,19060,407960
Mar-1997,10300,37810,74470,236490,2310,10140,19380,390900
Apr-1997,8720,38020,60160,187490,2100,9650,19760,325900
May-1997,9580,38230,45690,169950,1710,5110,18820,289100
Jun-1997,13790,33830,55150,176850,2640,8000,17920,308180
Jul-1997,11590,36300,65250,227840,2430,29450,24500,397360
Aug-1997,7950,36720,53830,202510,2470,7550,19400,330430
Sep-1997,11220,37150,62490,189070,2390,6680,21940,330940
Oct-1997,11720,39420,69320,211970,2500,9220,22330,366480
Nov-1997,12530,43320,74340,220320,2850,4230,21870,379460
Dec-1997,3500,28190,132290,259200,2110,3560,19420,448280
Jan-1998,4450,30550,66590,198470,3030,17800,25340,346230
Feb-1998,6690,40520,66320,188220,2730,30320,18810,353610
Mar-1998,8760,44580,73880,182330,1900,7640,19470,338560
Apr-1998,7560,35480,78490,189410,2440,8360,19340,341080
May-1998,8710,39530,52340,159070,2340,4900,16510,283400
Jun-1998,5200,34440,59380,175110,1970,7420,20670,304190
Jul-1998,10530,32780,62270,183910,3480,25460,53870,372300
Aug-1998,7450,34010,51160,168490,3740,7660,51160,323680
Sep-1998,11080,28620,51120,130290,3280,6040,93440,323860
Oct-1998,15770,41040,69650,186780,3990,9450,28080,354750
Nov-1998,11480,42160,81320,199600,3610,4950,24780,367910
Dec-1998,3960,26640,129920,256890,3490,4780,31970,457640
Jan-1999,4650,31760,69270,186890,5300,21890,31210,350980
Feb-1999,6720,38850,66560,226640,3760,29320,26710,398570
Mar-1999,9150,40280,82060,219680,3420,8370,26050,389020
Apr-1999,13610,34540,63050,184200,3520,9440,25770,334130
May-1999,9500,42300,51020,160780,3030,6620,24890,298130
Jun-1999,4960,33820,59860,177990,3840,9670,26910,317060
Jul-1999,10620,35720,67640,205830,4200,29290,35140,388460
Aug-1999,9260,37990,56710,212200,3610,7520,28320,355610
Sep-1999,11470,36580,66990,197950,3670,7510,28970,353130
Oct-1999,12150,37920,76970,221780,3420,10810,33940,396980
Nov-1999,11380,44230,83620,236990,3870,5800,30770,416670
Dec-1999,3600,26960,120680,271780,2940,6490,28320,460780
Jan-2000,6500,29620,66130,195370,4720,22870,35590,360800
Feb-2000,8430,41700,74280,241430,3530,33240,31990,434590
Mar-2000,10390,45380,76300,235190,3750,9140,31700,411860
Apr-2000,11100,38330,87740,221680,3900,9840,33030,405620
May-2000,11590,44660,57480,166130,3490,9100,26910,319350
Jun-2000,9760,39780,69630,184170,3240,11530,29830,347940
Jul-2000,12930,42970,76530,214190,4530,34570,43300,429030
Aug-2000,8750,39910,70280,205540,5170,8280,34930,372850
Sep-2000,12810,41510,61460,204850,6420,11530,64380,402970
Oct-2000,17380,45800,83230,221080,4190,14650,40180,426510
Nov-2000,17460,46620,92200,255250,4120,7770,36500,459910
Dec-2000,8950,28220,162660,312220,3320,7760,36810,559930
Jan-2001,6090,31650,81190,226670,5540,26570,38900,416600
Feb-2001,9060,43240,80470,218260,4600,39980,33590,429200
Mar-2001,13460,42100,90260,233250,3890,13460,32340,428750
Apr-2001,12230,35970,90930,217510,3490,13620,31620,405380
May-2001,13110,38820,61450,176540,3240,7700,29310,330180
Jun-2001,8800,33280,69910,207230,3190,15760,31840,370020
Jul-2001,14740,37060,70290,212160,4900,42220,65510,446880
Aug-2001,8300,38810,59800,194860,4690,11730,66400,384590
Sep-2001,16840,30620,65710,173590,5530,10510,63490,366290
Oct-2001,14070,38520,64210,176250,6780,13350,65290,378470
Nov-2001,11020,37730,72340,188780,5030,6950,54330,376190
Dec-2001,7910,26670,135800,259170,5910,7780,79950,523190
Jan-2002,4910,30370,65220,172640,9030,29120,68000,379290
Feb-2002,8640,37730,68140,206350,7210,36960,72210,437240
Mar-2002,10010,39030,87700,213240,9570,16450,70490,446500
Apr-2002,15730,40130,63200,178310,8500,13170,41270,360310
May-2002,15250,39060,45680,159200,6530,9190,55030,329950
Jun-2002,7270,33390,56630,161860,5650,14150,60440,339390
Jul-2002,13950,36490,61160,183520,5650,44900,72490,418160
Aug-2002,9160,34330,50840,189080,6410,13720,68400,371940
Sep-2002,13850,35910,57640,166980,6590,11080,66530,358570
Oct-2002,14190,42190,72890,230040,6140,14830,48580,428860
Nov-2002,11970,44770,76870,243060,6140,8490,45730,437020
Dec-2002,5000,29050,141610,297200,4430,6880,49810,533970
Jan-2003,5540,32370,69290,204170,7380,30040,47860,396650
Feb-2003,9450,40690,69560,213090,5860,45450,43390,427480
Mar-2003,11070,40700,74890,199010,5020,17260,44510,392470
Apr-2003,8280,27220,77500,159290,4210,9780,35240,321510
May-2003,14800,33890,52680,119290,4310,7950,27980,260900
Jun-2003,8750,32030,59850,156500,5460,12480,33190,308270
Jul-2003,17280,36600,71850,197300,8120,42030,42340,415510
Aug-2003,14470,38650,63970,190710,8120,13960,32380,362250
Sep-2003,18260,40410,71760,197360,8600,12940,36270,385600
Oct-2003,12380,45220,79420,230470,9660,15950,42230,435330
Nov-2003,13670,49380,87320,262350,8620,9690,42250,473280
Dec-2003,8580,30310,154120,311020,8530,8130,45910,566600
Jan-2004,4720,32090,74140,219160,12120,34900,43050,420170
Feb-2004,12110,48190,77650,214100,10370,51970,40420,454820
Mar-2004,13140,48990,86710,219250,8360,17260,38570,432280
Apr-2004,10720,35170,89280,202580,8810,16430,39800,402790
May-2004,12620,44770,60690,170280,9050,10100,33740,341260
Jun-2004,10340,37700,68900,188380,9050,16420,36500,367280
Jul-2004,15770,40460,86330,243270,6880,53030,21810,467550
Aug-2004,17020,46310,74280,230090,6120,15700,13530,403060
Sep-2004,18140,42450,87470,211980,6130,12210,15150,393510
Oct-2004,16920,46970,92630,248800,7550,15900,18610,447380
Nov-2004,17700,53560,96390,275280,7640,9850,17590,478020
Dec-2004,7760,32710,176430,342970,7210,9300,15020,591390
Jan-2005,14080,36900,90900,244920,8960,38530,22640,456920
Feb-2005,11360,45200,94010,272700,6570,54010,14910,498780
Mar-2005,15520,45330,118340,279410,8600,17710,17180,502090
Apr-2005,13440,43470,90410,220530,6460,15380,16890,406580
May-2005,14550,48170,70170,185280,6240,10460,16410,351290
Jun-2005,10250,41850,81770,202910,7430,15830,16980,377010
Jul-2005,16150,45170,90770,254200,9860,57580,23320,497040
Aug-2005,22740,47890,76010,238680,11130,16270,16530,429260
Sep-2005,18690,44640,89300,216190,10450,14670,18120,412070
Oct-2005,16290,50010,92370,255060,13860,15130,19150,461870
Nov-2005,22860,56410,95660,252280,11950,11400,20100,470670
Dec-2005,6770,33740,185650,333520,14010,11140,14420,599250
Jan-2006,6980,38710,89210,256660,14700,35310,19820,461400
Feb-2006,14020,51440,90190,237060,12200,60850,19250,485000
Mar-2006,13730,53620,103700,246760,12690,18180,24760,473440
Apr-2006,12580,43620,107870,226260,12930,16100,15680,435040
May-2006,14090,50290,67410,172090,12650,11250,15160,342940
Jun-2006,16590,43670,82450,188360,12850,18070,17660,379660
Jul-2006,19660,49440,88250,227630,14370,57840,21000,478190
Aug-2006,19900,49360,78240,216420,13570,17110,15600,410200
Sep-2006,20070,46520,91620,218430,14440,14730,17650,423460
Oct-2006,20790,53610,96990,251380,15240,16440,18480,472930
Nov-2006,15660,58930,102250,265940,14900,12980,19320,489990
Dec-2006,8920,34530,192590,360600,17950,11420,14860,640870
Jan-2007,10210,43580,89810,229310,16260,40490,21370,451030
Feb-2007,11870,51610,98070,260980,14710,54750,18170,510170
Mar-2007,24300,60480,116920,252540,14710,24640,26420,520020
Apr-2007,15130,47960,101680,220540,14020,18020,17590,434940
May-2007,14930,53500,77660,174820,13680,12630,17510,364730
Jun-2007,15800,48240,86170,195360,13790,20320,18290,397960
Jul-2007,21760,49960,91460,226720,13820,57910,21160,482790
Aug-2007,17830,52970,88060,225540,15530,18160,16660,434750
Sep-2007,21930,50500,99760,213200,14620,15700,18390,434110
Oct-2007,19930,57530,99180,239960,14680,16880,20680,468840
Nov-2007,21490,57150,113910,256040,17290,13440,19900,499210
Dec-2007,7940,35600,195860,330010,17530,11730,16170,614830
Jan-2008,9850,42270,89620,218680,18450,41070,20690,440630
Feb-2008,17140,59610,105780,263350,18200,61420,20920,546410
Mar-2008,16570,57040,128140,249830,16260,26940,18930,513720
Apr-2008,14690,60040,103650,195880,15670,15970,18420,424310
May-2008,16070,52910,86300,181720,13440,11770,17810,380020
Jun-2008,13890,47910,90270,177860,15770,17510,19250,382460
Jul-2008,39090,51890,90310,220680,15830,58030,54620,530450
Aug-2008,17790,50660,91950,203000,15250,21150,18950,418750
Sep-2008,17060,48080,100930,186240,16670,14000,17030,400010
Oct-2008,18090,54720,105030,222970,15950,18260,20730,455740
Nov-2008,15060,54320,115950,236290,16070,12970,19690,470350
Dec-2008,8970,31150,206550,318910,17800,11900,16530,611800
Jan-2009,7020,34080,99750,227960,19990,41330,21760,451880
Feb-2009,11960,47890,109860,225520,16810,68430,21310,501770
Mar-2009,12800,54170,123890,232880,16150,27750,19200,486840
Apr-2009,9700,39360,130530,219070,15060,20440,18660,452830
May-2009,12330,43580,101410,171320,13640,13620,17010,372920
Jun-2009,11190,41940,97620,162300,13240,18740,17250,362280
Jul-2009,15870,44110,112860,188240,13970,61040,22880,458960
Aug-2009,17350,45770,99420,193880,15330,21300,20110,413160
Sep-2009,15630,44650,115930,207650,15640,16820,20980,437290
Oct-2009,16820,48930,121730,236840,15490,21340,23670,484820
Nov-2009,16750,56660,128760,232460,14920,15590,20110,485250
Dec-2009,9660,32060,229180,328580,16760,13940,19180,649360
Jan-2010,7350,40930,106320,205940,18970,46970,22230,448710
Feb-2010,14010,54210,118060,261620,17680,73170,21380,560130
Mar-2010,14290,58740,139360,243320,16870,31690,22060,526330
Apr-2010,14650,47370,117600,195900,14750,19250,19380,428900
May-2010,14780,56420,93300,165930,13450,13240,17830,374960
Jun-2010,18920,46650,103480,181850,14690,20170,17940,403700
Jul-2010,20110,49020,111900,222430,15690,69080,22690,510930
Aug-2010,17750,53230,107370,214870,15000,23940,19150,451310
Sep-2010,18840,49810,121040,229220,16900,17870,22000,475680
Oct-2010,17530,56630,124060,236050,16380,19840,23980,494460
Nov-2010,20330,62930,131680,247050,16910,15980,23210,518090
Dec-2010,8830,37860,239650,340670,17280,14260,19810,678360
Jan-2011,7530,50490,109140,219150,20440,42520,24520,473780
Feb-2011,14030,59250,118570,242410,20020,85710,25170,565140
Mar-2011,17490,62370,131880,215990,17000,29290,26080,500100
Apr-2011,12090,44810,144690,206150,16290,16610,19690,460320
May-2011,15130,60880,96080,158730,15650,18470,19570,384520
Jun-2011,13070,49610,99340,170030,16130,18160,21340,387680
Jul-2011,19310,54510,116210,206730,17200,67120,24560,505640
Aug-2011,16780,53480,110030,224630,17590,23350,21150,467010
Sep-2011,18370,52050,113920,185260,18900,18440,24100,431040
Oct-2011,22330,58060,121810,230520,20820,20180,25810,499530
Nov-2011,22050,69710,133970,239130,18710,15590,23600,522760
Dec-2011,7940,35240,245100,333680,18060,15030,19750,674790
Jan-2012,9290,42530,117810,243620,24990,40730,23030,501990
Feb-2012,16420,63410,128620,228390,19950,85710,23250,565750
Mar-2012,16790,58770,151910,246410,19980,27950,22020,543830
Apr-2012,13220,50080,130030,207190,20390,19930,24250,465100
May-2012,20320,60830,100540,161020,17670,13310,19740,393430
Jun-2012,14440,48800,112650,186580,18320,19240,20480,420510
Jul-2012,19010,51900,113560,202350,19040,68520,25470,499860
Aug-2012,20980,52650,119750,237590,22600,25030,20140,498740
Sep-2012,23530,55630,127590,204890,18840,19970,25020,475470
Oct-2012,21610,63030,130210,241750,19310,18760,26340,521010
Nov-2012,19770,62620,148650,269550,17240,15990,26280,560100
Dec-2012,11190,38680,264130,353740,17640,15760,20180,721320
Jan-2013,7700,43210,116080,223070,27260,42550,28810,488670
Feb-2013,14240,58660,136420,288370,19860,74540,24890,616970
Mar-2013,13140,57370,172020,267140,21360,33520,24310,588870
Apr-2013,15630,56390,123830,203150,19150,21560,21820,461540
May-2013,18670,56760,107620,177900,15060,15020,22300,413330
Jun-2013,16330,49460,117940,206920,16660,19960,20250,447520
Jul-2013,15850,55270,126650,222430,16390,68010,26310,530910
Aug-2013,19130,49780,129380,265820,17120,27090,21040,529350
Sep-2013,17640,52860,141780,221670,18360,17760,23820,493890
Oct-2013,21140,56660,149660,249090,19750,21920,24530,542760
Nov-2013,19140,62880,162670,273440,17800,16770,25420,578130
Dec-2013,14680,39600,298440,385710,17320,14040,19960,789760
Jan-2014,7780,41160,149480,273520,27930,37670,24960,562510
Feb-2014,13110,57830,155520,288180,20630,75410,26950,637630
Mar-2014,17610,62320,166600,280510,18370,31760,23650,600820
Apr-2014,12760,45660,168280,244620,16800,19770,20670,528560
May-2014,27630,57110,126950,208560,14930,15660,22050,472880
Jun-2014,16560,51000,129060,207810,14970,19060,19420,457900
Jul-2014,24700,47980,139090,271210,16540,67650,22480,589650
Aug-2014,21020,53840,131920,263450,17060,30070,23540,540910
Sep-2014,22520,50790,144780,243580,19010,18230,22830,521750
Oct-2014,22750,59430,151570,265780,29010,26270,31850,586680
Nov-2014,29430,63480,166530,275790,26070,20380,29550,611230
Dec-2014,9840,35350,309900,378920,33500,18100,26230,811830
Jan-2015,10930,41600,156120,228910,32370,47760,29740,547430
Feb-2015,14450,54030,182970,342810,31270,73800,26720,726060
Mar-2015,16540,59860,197270,308350,24110,42940,30210,679270
Apr-2015,17560,49390,159190,247460,26120,26290,24150,550150
May-2015,18300,55750,129040,214910,25370,18910,23380,485660
Jun-2015,16130,48210,135800,213990,25130,25460,23430,488150
Jul-2015,15380,46810,152820,271370,28250,84530,29110,628270
Aug-2015,17850,49440,153840,269060,26710,34850,22390,574140
Sep-2015,20130,48450,172830,265520,21990,20420,22650,571990
Oct-2015,23390,53900,157870,314870,21260,27720,26790,625800
Nov-2015,23080,62730,162210,342780,27090,29880,23770,671540
Dec-2015,7490,31830,309180,476820,27430,26960,21600,901320
Jan-2016,9380,39190,141100,318620,26490,52540,30360,617670
Feb-2016,16920,57490,166240,411650,23670,94110,28540,798610
Mar-2016,16210,56020,203430,397040,23260,36620,24760,757350
Apr-2016,19490,52050,153910,310130,18450,27080,29370,610500
May-2016,17020,56800,126370,273960,18240,19350,29540,541280
Jun-2016,13890,47980,147610,277630,20010,24990,22960,555070
Jul-2016,18530,49320,152870,344480,23400,97020,30160,715780
Aug-2016,16840,51810,144560,340540,19600,31590,27190,632140
Sep-2016,22680,48700,168600,329200,23770,26920,27170,647040
Oct-2016,21890,56420,161380,345940,31860,41090,37350,695920
Nov-2016,21860,64000,178660,384920,22330,23220,26840,721830
Dec-2016,11030,32230,335630,515890,28100,27030,26230,976150
Jan-2017,16160,40370,155430,392440,35110,58920,25570,723990
Feb-2017,18090,59250,173020,358810,31630,120330,26440,787580
Mar-2017,19510,62390,197560,404940,21010,41180,25640,772230
Apr-2017,16980,45810,189970,366370,22200,34890,23790,700010
May-2017,20520,57500,142390,297530,18350,21630,21170,579090
Jun-2017,17680,50640,163990,300790,22900,28790,21230,606010
Jul-2017,25890,55120,180340,332950,16780,107400,27920,746410
Aug-2017,28310,56940,182190,359360,17610,35080,23410,702900
Sep-2017,28350,55240,198240,309320,19880,27660,24890,663590
Oct-2017,31730,67220,204680,356260,19550,36520,25390,741360
Nov-2017,29200,71630,230170,380920,17190,23840,24140,777090
Dec-2017,14600,37750,418420,487950,14410,23820,18090,1015040
Jan-2018,13310,47260,199220,323630,25330,68400,25420,702580
Feb-2018,19980,63320,227550,449380,17550,111350,25400,914530
Mar-2018,24040,65370,277620,408660,17980,49290,29400,872350
Apr-2018,23070,58330,206060,309640,17270,38890,26520,679780
May-2018,32240,61860,184850,270190,15580,23610,21120,609450
Jun-2018,21630,51100,205960,301160,15270,31790,19740,646650
Jul-2018,28520,56980,199130,330840,14260,118840,25800,774360
Aug-2018,25450,58590,204640,376230,15790,38520,22490,741710
Sep-2018,31780,59790,203970,318330,19060,31580,25690,690190
Oct-2018,35350,64580,219580,351170,18460,36100,28720,753960
Nov-2018,33200,66360,236530,390830,17430,26370,31440,802160
Dec-2018,14990,38880,425550,509280,14860,25810,28530,1057900
Jan-2019,13520,47770,197380,353090,26580,65240,27560,731130
Feb-2019,22530,62460,232090,441800,20300,121260,26790,927240
Mar-2019,29750,69040,239850,400350,17360,52260,27750,836350
Apr-2019,21570,48090,236910,323290,14970,32900,22640,700370
May-2019,30390,58440,197500,314820,17140,28090,21890,668280
Jun-2019,23860,53300,199820,311440,15910,35040,20960,660340
Jul-2019,29110,56030,208710,347490,14520,108020,26500,790380
Aug-2019,33330,54620,210020,401070,16360,48400,25400,789200
Sep-2019,32570,58220,212680,311880,19280,34860,25470,694960
Oct-2019,35230,62290,224700,361630,19610,40030,30530,774020
Nov-2019,40100,67070,242730,393980,18840,27160,26020,815910
Dec-2019,17700,38460,443530,514880,14780,27160,21210,1077720
Jan-2020,11690,40320,210820,377820,29800,66180,29950,766590
Feb-2020,19260,53460,209610,285580,20320,72520,24660,685410
Mar-2020,6950,21920,112410,124450,10980,40680,14490,331890
Apr-2020,0,150,810,150,160,30,950,2250
May-2020,10,300,1260,120,280,60,1410,3440
Jun-2020,20,530,1980,130,570,90,2080,5400
Jul-2020,10,420,1430,120,450,100,1000,3530
Aug-2020,10,410,1110,50,480,70,910,3030
Sep-2020,10,530,1360,70,790,100,860,3720
Oct-2020,30,910,2420,140,1160,140,1280,6070
Nov-2020,20,840,3950,290,1120,90,1240,7570
Dec-2020,40,580,5350,420,1110,200,1120,8820
Jan-2021,40,1330,2810,230,1450,450,1680,7990
Feb-2021,20,910,2450,180,1140,440,1110,6260
Mar-2021,50,1100,3610,270,1800,220,1260,8320
Apr-2021,110,2230,14520,1970,2040,210,1530,22610
May-2021,560,5070,21520,4070,2650,340,1980,36190
Jun-2021,400,3900,21110,5660,2630,320,2760,36770
Jul-2021,70,1450,11000,2670,1520,490,1530,18720
Aug-2021,20,710,1700,120,1800,140,1890,6390
Sep-2021,10,500,970,40,1440,60,1410,4430
Oct-2021,0,550,900,50,1870,80,960,4410
Nov-2021,190,1350,14020,1250,1780,240,2030,20860
Dec-2021,450,1830,53400,4860,2630,5410,4710,73290
Jan-2022,470,2550,35940,4070,4860,8810,4070,60760
Feb-2022,920,4840,49830,6340,5450,18390,4690,90460
Mar-2022,2640,14310,104650,22510,8490,11190,6450,170250
Apr-2022,3280,16120,146440,42600,9430,9510,8070,235460
May-2022,9200,26470,114360,50640,10750,11700,8370,231480
Jun-2022,7740,22710,133610,76490,11510,13900,9340,275300
Jul-2022,8860,24060,140080,93620,11400,36760,10890,325680
Aug-2022,17080,29190,148450,104140,15190,20940,13440,348440
Sep-2022,17030,29650,160560,111980,17500,18860,16270,371850
Oct-2022,18660,35400,167770,157810,17860,16290,16690,430470
Nov-2022,22050,42410,210980,173340,20780,16730,18940,505240
Dec-2022,11900,19700,355010,212810,16740,16800,16010,648970
Jan-2023,11570,21480,143080,160540,27350,30920,17480,412410
Feb-2023,16740,40750,201350,218480,25640,74340,23400,600710
Mar-2023,19930,46850,242070,229680,24440,28520,21840,613340
Apr-2023,12690,30890,222680,213040,20950,25220,19460,544920
May-2023,28260,41850,182590,195700,21500,24460,17970,512330
Jun-2023,19930,35900,200990,217640,22860,24920,19840,542080
Jul-2023,22850,40370,184060,253770,20070,75610,28390,625120
Aug-2023,22290,36100,198430,267700,23180,33650,22010,603360
Sep-2023,23570,35510,205360,239530,26620,28290,25740,584620
Oct-2023,28730,44810,203690,252630,26170,24500,27410,607930
Nov-2023,23530,47450,236280,278460,28030,21720,28290,663760
Dec-2023,12460,23460,407450,357880,20820,23090,31710,876860
Jan-2024,7210,28050,186650,262700,39980,50770,28410,603770
Feb-2024,17790,44180,242720,391080,31150,101120,29910,857950
Mar-2024,19610,43920,274720,334530,29530,30810,27920,761050
Apr-2024,15030,39240,199380,256830,25760,31800,25050,593090
May-2024,23830,44380,197920,258760,24820,26400,24680,600780
Jun-2024,27720,35350,203340,250020,24140,25940,21250,587760
Jul-2024,18640,35560,191260,284280,21710,84140,23380,658970
Aug-2024,21250,38470,202390,310320,24080,35970,26320,658810
Sep-2024,30500,41330,208900,264550,28570,31350,25510,630700
Oct-2024,28830,45050,220890,299070,27360,27730,28490,677410
Nov-2024,29010,49650,243440,296590,27950,21640,27090,695360
Dec-2024,13490,25460,438280,399190,22660,24560,21640,945280
Jan-2025,6830,25920,208860,348220,42960,51110,26140,710040
Feb-2025,19470,45970,226360,315680,33410,119230,27650,787770
Mar-2025,20880,50970,254700,336060,30950,40070,27610,761230
Apr-2025,27920,31530,240910,261850,26980,31140,20830,641150
May-2025,23380,42950,205500,260010,26850,28750,23730,611180
Jun-2025,22900,37100,206880,277830,26830,30740,22220,624510
Jul-2025,23120,37480,213660,330610,24750,87070,26520,743210
Aug-2025,25020,41240,217380,367890,27580,46560,27640,753320
